Shimmer_B640_Timestamp_FormattedUnix_CAL,Shimmer_B640_PPG_A13_CAL
yyyy/mm/dd hh:mm:ss.000,mV
51:19.3,1207.326007
51:19.3,1208.058608
51:19.3,1209.52381
51:19.3,1208.791209
51:19.3,1207.326007
51:19.3,1207.326007
51:19.3,1207.326007
51:19.3,1208.058608
51:19.3,1210.25641
51:19.3,1211.721612
51:19.3,1213.186813
51:19.3,1215.384615
51:19.3,1218.315018
51:19.4,1220.512821
51:19.4,1221.245421
51:19.4,1222.710623
51:19.4,1223.443223
51:19.4,1221.978022
51:19.4,1222.710623
51:19.4,1221.245421
51:19.4,1221.245421
51:19.4,1221.245421
51:19.4,1220.512821
51:19.4,1216.849817
51:19.4,1217.582418
51:19.4,1215.384615
51:19.5,1210.989011
51:19.5,1205.860806
51:19.5,1201.465201
51:19.5,1200.732601
51:19.5,1203.663004
51:19.5,1209.52381
51:19.5,1214.652015
51:19.5,1219.78022
51:19.5,1224.908425
51:19.5,1229.304029
51:19.5,1230.03663
51:19.5,1227.106227
51:19.5,1221.245421
51:19.6,1213.919414
51:19.6,1207.326007
51:19.6,1202.197802
51:19.6,1199.267399
51:19.6,1199.267399
51:19.6,1202.930403
51:19.6,1204.395604
51:19.6,1205.860806
51:19.6,1208.791209
51:19.6,1210.25641
51:19.6,1213.919414
51:19.6,1224.175824
51:19.6,1233.699634
51:19.7,1247.619048
51:19.7,1263.736264
51:19.7,1287.179487
51:19.7,1317.216117
51:19.7,1356.776557
51:19.7,1404.395604
51:19.7,1457.875458
51:19.7,1513.553114
51:19.7,1572.161172
51:19.7,1625.641026
51:19.7,1675.457875
51:19.7,1723.076923
51:19.8,1762.637363
51:19.8,1794.139194
51:19.8,1817.582418
51:19.8,1832.967033
51:19.8,1841.025641
51:19.8,1839.56044
51:19.8,1835.897436
51:19.8,1828.571429
51:19.8,1818.315018
51:19.8,1807.326007
51:19.8,1794.871795
51:19.8,1780.952381
51:19.8,1769.230769
51:19.9,1752.380952
51:19.9,1734.065934
